[2025-09-20T22:27:41.954Z] Voter 68ca904a94932e604ac1f1a6 voted for Candidate 68cec6b1fa3d20f370fa4a77
[2025-09-20T22:31:05.355Z] Voter Ben2 voted for Candidate Thomas
[2025-09-24T13:02:26.537Z] Voter PriyankV voted for Candidate Yash
[2025-09-24T13:02:58.448Z] Voter PriyankV voted for Candidate Martin
[2025-09-24T13:18:53.762Z] Voter PriyankV voted for Candidate Martin
[2025-09-24T13:37:58.118Z] Voter PriyankV voted for Candidate Priyank
[2025-09-24T13:45:42.147Z] Voter Admin voted for Candidate Martin
[2025-09-24T14:06:41.834Z] Voter NewUser voted for Candidate Yash
[2025-09-26T11:58:28.520Z] Voter PriyankV voted for Candidate Daniel
[2025-09-26T12:00:39.792Z] Voter PriyankV voted for Candidate Martin
[2025-09-29T00:29:10.608Z] Voter PriyankV voted for Candidate Priyank
